Mon Nov 05 21:57:19 +0000 2018,TheTrumpParty,RT @CheleFarley: Our hardworking Team Chele volunteers were racing around #nycmarathon routes yesterday helping us #GOTV2018 ahead of Tuesd…
Mon Nov 05 21:55:58 +0000 2018,tim45Prez,"RT @olney_dan: @realDonaldTrump 
VOTE for @marcmolinaro to replace Cuomo.
VOTE for @CheleFarley to replace Gillibrand
NYS  TAXPAYERS deserv…"
Mon Nov 05 21:54:52 +0000 2018,mchicon,The most important message is that ALL NY State Republicans are to vote straight down for @marcmolinaro… https://t.co/rFyEZSD2x7
Mon Nov 05 21:54:23 +0000 2018,americawins49,RT @Genesis33K: The man who brought NYC back to life &amp; who led us through the 9/11 terrorists attacks is asking us to vote for @CheleFarley…
Mon Nov 05 21:54:08 +0000 2018,megdogwuff,"RT @RoseDC11: My Fellow NY'ers this goes out to you!!! 🇺🇸⚡️🇺🇸⚡️TUESDAY NOV 6th, VOTE FOR CHELE FARLEY FOR THE NY SENATE SEAT!!!! ⚡️🇺🇸⚡️🇺🇸 #…"
Mon Nov 05 21:53:40 +0000 2018,VirginiaMAGAKAG,RT @CheleFarley: There's still time to chip in to Team Chele's Get Out the Vote drive! Please donate to #PutNYFirst. https://t.co/C9PpyigbH…
Mon Nov 05 21:51:06 +0000 2018,JoeRice413,Hey #NewYork! We can do better than having a Governor &amp; a Senator that are too busy posturing for future… https://t.co/blaBwNukP1
Mon Nov 05 21:51:01 +0000 2018,USHwy34,RT @CheleFarley: There's still time to chip in to Team Chele's Get Out the Vote drive! Please donate to #PutNYFirst. https://t.co/C9PpyigbH…
Mon Nov 05 21:49:51 +0000 2018,NYTrumpanzee,@olney_dan @Mashbird315 @marcmolinaro @CheleFarley It's literally impossible for Marc Molinaro to get enough votes… https://t.co/0LC64LrCKp
Mon Nov 05 21:48:00 +0000 2018,R98250729,RT @CheleFarley: .@mgoodwin_nypost's “$leazy does it for Gilly” after @SenGillibrand got tripped up lying about her 2020 run. Not only did…
Mon Nov 05 21:47:23 +0000 2018,wallyBeaver771,"THe Corporate CEO's receive more raises than union members. AFL-CIO plans to replace union employees with foreign,… https://t.co/UPPvuWenxz"
Mon Nov 05 21:42:17 +0000 2018,tomreny,RT @CheleFarley: Why should NY tax dollars bankroll projects in other states when #I81 replacement in #Syracuse &amp; other mandatory repairs n…
